text,intent
привет,greeting
здравствуй,greeting
здравствуйте,greeting
добрый день,greeting
доброе утро,greeting
добрый вечер,greeting
хай,greeting
здарова,greeting
приветствую,greeting
салют,greeting
приветик,greeting
здрасьте,greeting
здорово,greeting
привет всем,greeting
всем привет,greeting
хаюшки,greeting
здорова,greeting
прив,greeting
дратути,greeting
о привет,greeting
йоу,greeting
хеллоу,greeting
хей,greeting
ку,greeting
дарова,greeting
салам,greeting
привет бот,greeting
здравствуй бот,greeting
добрый день бот,greeting
здравствуйте как жизнь,greeting
доброго здоровья,greeting
приветствую вас,greeting
доброго времени суток,greeting
здравствуйте дорогой,greeting
привет как ты,greeting
рад тебя видеть,greeting
здаровеько,greeting
привет как жизнь,greeting
здравствуй как дела,greeting
доброго здоровья бот,greeting
салам алейкум,greeting
здравствуй солнце,greeting
привет мир,greeting
всем здравствуйте,greeting
доброго дня,greeting
доброй ночи,greeting
хэллоу,greeting
здравствуй брат,greeting
привет сестра,greeting
вечер в хату,greeting
вечер хату,greeting
вечер в хату бот,greeting
хату вечер,greeting
здорово бот,greeting
привет дорогой,greeting
здравствуйте товарищ,greeting
добрый день товарищ,greeting
приветствую вас бот,greeting
рад познакомиться,greeting
приятно познакомиться,greeting
здравствуйте я к вам,greeting
привет я здесь,greeting
добро пожаловать,greeting
как дела,how_are_you
как жизнь,how_are_you
как настроение,how_are_you
как поживаешь,how_are_you
как сам,how_are_you
как ты,how_are_you
как делишки,how_are_you
как оно,how_are_you
чё как,how_are_you
как ты поживаешь,how_are_you
как твои дела,how_are_you
что нового,how_are_you
как успехи,how_are_you
как жизнь молодая,how_are_you
как самочувствие,how_are_you
как дела у тебя,how_are_you
как у тебя дела,how_are_you
как дела у тебя бот,how_are_you
как у тебя дела бот,how_are_you
как твои дела бот,how_are_you
как дела бот,how_are_you
как дела у вас,how_are_you
как у вас дела,how_are_you
как ваши дела,how_are_you
как дела у тебя сегодня,how_are_you
как дела у тебя вообще,how_are_you
ну как дела,how_are_you
и как дела,how_are_you
а как дела,how_are_you
ну как ты,how_are_you
как ты вообще,how_are_you
как настроение у тебя,how_are_you
какое у тебя настроение,how_are_you
что нового у тебя,how_are_you
как жизнь твоя,how_are_you
как оно у тебя,how_are_you
чё как ты,how_are_you
как поживаете,how_are_you
как ваше ничего,how_are_you
всё хорошо у тебя,how_are_you
как ты сегодня,how_are_you
как прошёл день,how_are_you
какой был день,how_are_you
какая погода,weather
погода в москве,weather
сколько градусов,weather
температура на улице,weather
будет ли дождь,weather
прогноз погоды,weather
что с погодой,weather
холодно на улице,weather
жарко сегодня,weather
какая температура завтра,weather
погода на завтра,weather
снег будет,weather
ветер сильный,weather
прогноз на сегодня,weather
метео,weather
погода сейчас,weather
какая сегодня погода,weather
погода на неделю,weather
прогноз на выходные,weather
солнечно сегодня,weather
дождь будет,weather
снег ожидается,weather
ветер какой,weather
на улице что творится,weather
градусник показывает,weather
